Player,TOI/GP,Goals/60,Total Assists/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iSCF/60,iHDCF/60,Hits/60,Shots Blocked/60
Zdeno Chara,22.903424657534,0.25,0.61,31.17,5.17,4.86,0.28,11.59,2.73,0.47,5.06,4.23
Francois Beauchemin,17.311691542289,0.16,0.72,32.69,4.81,3.23,0.22,9.73,1.91,0.26,5.28,6.26
Ron Hainsey,21.864791666667,0.14,0.65,29.87,2.5,5.48,0.11,6.52,1.41,0.1,3.12,5.8
Brooks Orpik,19.364814814815,0.0,0.38,22.73,2.07,0.0,0.06,5.09,1.11,0.08,8.34,6.43
Niklas Kronwall,18.52194092827,0.16,0.94,43.55,3.12,5.26,0.16,6.19,1.48,0.29,3.36,4.39
Deryk Engelland,20.271729957806,0.19,0.67,33.33,4.05,4.63,0.15,8.13,1.46,0.19,4.72,5.62
Dan Hamhuis,20.188125,0.11,0.78,39.34,2.45,4.55,0.11,5.98,1.52,0.37,3.05,4.2
Kevin Bieksa,18.024576271186,0.0,0.45,27.59,3.72,0.0,0.15,8.29,1.86,0.28,6.54,4.57
Johnny Oduya,17.109935897436,0.27,0.27,25.0,3.98,6.78,0.14,7.35,1.89,0.4,3.37,5.13
Trevor Daley,20.696103896104,0.34,0.26,23.53,3.88,8.74,0.2,7.42,2.11,0.56,0.9,4.71
Jay Bouwmeester,20.136666666667,0.17,0.43,26.92,3.83,4.44,0.15,8.6,1.19,0.26,2.47,4.94
Johnny Boychuk,20.191954022989,0.31,0.61,32.73,7.22,4.26,0.23,14.45,1.84,0.15,5.84,5.74
Duncan Keith,23.827032520325,0.06,0.92,43.24,5.74,1.07,0.23,12.28,2.61,0.15,1.26,5.07
Jonathan Ericsson,19.308436213992,0.12,0.38,23.64,3.3,3.49,0.1,5.87,1.15,0.19,5.1,3.22
Ryan Suter,26.77735042735,0.17,1.29,45.54,4.28,4.03,0.21,9.28,1.98,0.46,2.24,3.96
Braydon Coburn,16.023842592593,0.05,0.73,34.88,3.8,1.37,0.17,8.42,2.03,0.42,4.0,3.9
Dion Phaneuf,19.997046413502,0.23,0.76,41.27,5.09,4.48,0.18,9.72,2.05,0.27,6.11,5.85
Brent Seabrook,20.197325102881,0.26,0.7,35.14,4.99,5.15,0.3,11.26,2.31,0.51,3.12,6.23
Brent Burns,25.242682926829,0.35,1.59,60.36,9.62,3.61,0.43,22.46,4.23,0.52,2.29,3.94
Shea Weber,25.348076923077,0.55,0.91,57.14,6.83,8.0,0.34,14.84,2.73,0.36,6.01,5.37
Marc Methot,17.883333333333,0.09,0.19,12.5,2.33,4.0,0.09,5.68,1.3,0.19,7.18,4.85
Toby Enstrom,17.031395348837,0.08,0.41,20.69,2.54,3.23,0.1,5.57,0.82,0.25,1.64,4.18
Dustin Byfuglien,24.338888888889,0.29,1.32,40.54,6.9,4.15,0.42,13.29,3.47,1.43,5.25,3.57
Mark Giordano,24.787601626016,0.38,0.74,38.38,6.32,6.07,0.31,14.49,3.19,0.44,2.75,4.75
Mike Green,22.082070707071,0.33,1.03,55.0,5.43,6.06,0.33,11.49,3.71,0.7,3.21,3.05
Alex Goligoski,23.254487179487,0.4,0.76,53.03,3.94,10.08,0.2,9.23,2.38,0.56,3.77,5.09
Alexei Emelin,16.881359649123,0.05,0.37,21.95,2.76,1.69,0.11,6.31,1.03,0.14,8.46,5.1
Alexander Edler,24.277380952381,0.21,0.99,41.98,6.07,3.49,0.25,12.5,2.54,0.39,5.54,7.17
Roman Polak,17.642901234568,0.13,0.63,31.58,2.96,4.26,0.13,8.0,1.64,0.25,8.25,5.29
Matt Hunwick,17.510714285714,0.33,0.49,34.48,4.24,7.69,0.18,8.57,1.79,0.65,4.16,4.32
Jack Johnson,19.54632034632,0.12,0.32,20.0,3.51,3.41,0.15,6.98,1.55,0.24,4.03,5.38
Marc Staal,18.532175925926,0.04,0.31,14.81,3.06,1.47,0.2,6.61,2.2,0.9,3.42,4.32
Matt Niskanen,22.607107843137,0.27,0.86,37.66,4.68,5.83,0.2,10.81,2.65,0.35,4.57,3.82
Marc-Edouard Vlasic,22.548559670782,0.36,0.69,39.02,5.29,6.83,0.26,11.07,2.66,0.69,0.85,5.72
Kris Letang,25.328691983122,0.27,1.26,40.16,6.66,4.05,0.31,13.28,3.09,0.63,3.27,3.24
Kris Russell,19.066666666667,0.16,0.69,38.18,3.63,4.44,0.16,7.79,1.98,0.32,3.91,9.0
Keith Yandle,24.489024390244,0.24,1.43,47.46,5.35,4.47,0.24,10.76,2.24,0.18,0.78,3.02
Niklas Hjalmarsson,20.697916666667,0.06,0.48,31.03,1.93,3.13,0.1,5.07,1.45,0.18,0.97,7.13
Anton Stralman,21.486875,0.14,0.49,19.78,4.57,3.05,0.18,8.38,1.75,0.49,3.63,3.49
Dan Girardi,17.385281385281,0.27,0.54,29.03,4.17,6.45,0.15,7.62,1.52,0.27,5.96,6.95
Andy Greene,21.123868312757,0.11,0.35,20.97,3.26,3.23,0.13,6.87,1.47,0.28,2.95,6.59
Alex Biega,15.020454545455,0.09,0.73,42.86,7.17,1.27,0.35,13.62,4.99,1.36,11.44,4.81
Erik Johnson,25.436290322581,0.34,0.61,32.47,6.39,5.36,0.29,11.07,2.82,0.72,4.34,5.14
Jeff Petry,23.494918699187,0.37,0.93,45.16,5.54,6.74,0.32,11.77,2.71,0.75,5.2,4.3
