Player,TOI/GP,Goals/60,Total Assists/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iSCF/60,iHDCF/60,Hits/60,Shots Blocked/60
Zdeno Chara,21.010784313725,0.21,0.38,21.54,3.61,5.81,0.14,6.55,1.26,0.13,3.28,4.24
Ron Hainsey,20.681770833333,0.05,0.5,21.82,1.95,2.33,0.07,4.94,0.73,0.09,2.31,4.62
Deryk Engelland,17.556462585034,0.07,0.35,16.22,4.12,1.69,0.1,8.09,1.46,0.21,7.95,6.0
Dan Hamhuis,14.513611111111,0.0,0.55,25.0,3.03,0.0,0.17,6.96,0.9,0.14,4.41,3.65
Trevor Daley,15.657364341085,0.0,0.62,35.0,3.3,0.0,0.14,6.77,1.78,0.36,0.8,3.92
Jay Bouwmeester,21.572023809524,0.05,0.4,22.5,2.63,1.89,0.09,5.02,1.14,0.0,2.09,3.38
Johnny Boychuk,17.285416666667,0.11,0.49,32.35,5.21,2.08,0.17,11.5,1.95,0.22,7.32,6.94
Duncan Keith,24.385519125683,0.12,0.97,36.49,4.48,2.7,0.2,10.33,2.18,0.16,1.05,4.72
Ryan Suter,24.639855072464,0.28,1.41,47.06,3.92,7.21,0.21,8.93,2.29,0.25,1.69,3.28
Brent Burns,25.390476190476,0.41,1.11,50.56,7.6,5.33,0.41,17.45,4.22,0.88,2.43,3.88
Shea Weber,24.007692307692,0.58,0.81,43.37,7.11,8.11,0.37,14.53,2.73,0.38,4.31,4.38
Mark Giordano,23.881944444444,0.21,1.09,38.75,6.57,3.18,0.31,14.61,3.01,0.46,1.76,6.2
Mike Green,20.877,0.17,0.46,40.74,4.37,3.95,0.22,9.54,2.93,0.29,3.51,3.79
Alex Goligoski,23.056904761905,0.15,1.04,40.0,3.75,3.96,0.17,7.92,1.9,0.19,3.38,4.98
Andrej Sekera,18.001169590643,0.12,0.35,30.77,3.68,3.17,0.17,7.48,1.52,0.29,1.99,4.39
Alexander Edler,22.617231638418,0.22,1.26,41.77,5.31,4.24,0.12,11.65,2.2,0.22,4.86,7.28
Roman Polak,16.663414634146,0.0,0.35,25.0,2.99,0.0,0.17,6.41,1.93,0.88,9.13,8.26
Jack Johnson,19.464676616915,0.14,0.37,22.92,2.9,4.76,0.13,6.63,1.29,0.14,8.42,4.46
Marc Staal,17.641987179487,0.13,0.59,31.43,3.01,4.35,0.11,5.69,1.44,0.65,4.51,4.97
Matt Niskanen,21.904901960784,0.32,1.01,40.24,5.08,6.35,0.24,9.35,2.26,0.44,4.99,3.38
Marc-Edouard Vlasic,20.294761904762,0.21,0.42,29.41,3.13,6.76,0.13,8.45,2.11,0.34,1.56,4.1
Kris Letang,25.725409836066,0.57,1.11,44.9,6.77,8.47,0.4,13.0,3.21,0.38,3.86,3.48
Kris Russell,16.779696969697,0.0,0.59,42.86,2.93,0.0,0.1,5.33,1.3,0.13,4.62,6.57
Keith Yandle,19.696618357488,0.22,1.77,48.39,5.7,3.88,0.24,12.01,2.21,0.31,0.79,2.25
Anton Stralman,21.065458937198,0.21,0.58,29.23,3.67,5.62,0.16,6.93,1.98,0.41,2.81,3.96
Andy Greene,19.546296296296,0.1,0.58,31.82,2.92,3.33,0.13,6.04,1.46,0.39,1.46,7.55
Alex Biega,16.421088435374,0.0,0.22,17.65,4.1,0.0,0.17,9.17,1.86,0.37,8.58,3.43
Erik Johnson,21.046610169492,0.14,0.63,30.19,4.78,3.03,0.33,9.81,2.46,0.43,4.69,5.56
Jeff Petry,23.646009389671,0.39,1.04,47.62,5.65,6.96,0.29,13.47,3.29,0.64,6.33,2.82
Korbinian Holzer,16.034693877551,0.08,0.23,19.05,2.98,2.56,0.14,5.73,1.37,0.38,7.41,7.33
Ian Cole,17.698461538462,0.21,1.15,46.43,4.8,4.35,0.2,9.96,2.09,0.31,4.33,6.36
Justin Braun,17.269086021505,0.17,0.9,44.19,3.92,4.29,0.13,8.24,1.4,0.11,5.1,4.71
